file,energy_eV,energy_per_atom_eV,natoms,formula
struct_0388.cif,-69.29147,-6.9291472,10,Ca2O2Si2Ti4
struct_0389.cif,-47.03923,-5.879904,8,Ca2O4Si2
struct_0390.cif,-153.7645,-7.688225,20,Ca3O12Si3Ti2
struct_0391.cif,-25.737099,-6.4342747,4,CaOSiTi
struct_0392.cif,-93.1311,-7.7609253,12,CaO8SiTi2
struct_0393.cif,-77.073494,-7.7073493,10,Ca2O6SiTi
struct_0394.cif,-65.37203,-6.5372033,10,Ca2O4Si2Ti2
struct_0395.cif,-52.24243,-6.530304,8,Ca2O2SiTi3
struct_0396.cif,-62.635788,-7.8294735,8,O2Si2Ti4
struct_0397.cif,-88.529724,-7.377477,12,CaO8Si2Ti
struct_0398.cif,-35.841167,-5.973528,6,Ca2O2Si2
struct_0399.cif,-50.72594,-6.3407426,8,Ca2O2Si2Ti2
struct_0400.cif,-25.44576,-6.36144,4,CaOSiTi
struct_0401.cif,-55.41967,-6.157741,9,Ca3O2Si2Ti2
struct_0402.cif,-25.450733,-6.3626833,4,CaOSiTi
struct_0403.cif,-25.541677,-6.3854194,4,CaO2Si
struct_0404.cif,-29.008465,-7.252116,4,CaO2Ti
struct_0405.cif,-35.9256,-5.9876,6,Ca2OSiTi2
struct_0406.cif,-77.08186,-7.708186,10,Ca2O6SiTi
struct_0407.cif,-66.81288,-7.4236536,9,CaO6SiTi
struct_0408.cif,-76.97536,-7.6975355,10,Ca2O6SiTi
struct_0409.cif,-86.26655,-7.188879,12,CaO8Si3
struct_0410.cif,-66.81474,-7.4238605,9,CaO6SiTi
struct_0411.cif,-69.317535,-6.9317536,10,Ca2O2Si2Ti4
struct_0412.cif,-78.367645,-6.5306373,12,Ca2OSi4Ti5
struct_0413.cif,-153.36082,-7.668041,20,Ca2O13Si3Ti2
struct_0414.cif,-103.65673,-6.9104486,15,Ca3O5Si3Ti4
struct_0415.cif,-66.79691,-7.4218793,9,CaO6SiTi
struct_0416.cif,-23.259064,-5.814766,4,CaOSi2
struct_0417.cif,-87.77884,-7.9798946,11,CaO7Si2Ti
struct_0418.cif,-88.52842,-7.3773685,12,CaO8Si2Ti
struct_0419.cif,-31.115547,-7.778887,4,O2SiTi
struct_0420.cif,-74.72798,-7.4727983,10,CaO6Si2Ti
struct_0421.cif,-128.82521,-8.051576,16,Ca2O10Si2Ti2
struct_0422.cif,-114.39414,-8.17101,14,CaO9Si2Ti2
struct_0423.cif,-33.591347,-6.7182693,5,CaOSiTi2
struct_0424.cif,-50.70378,-6.3379726,8,Ca2O2Si2Ti2
struct_0425.cif,-77.08325,-7.7083254,10,Ca2O6SiTi
struct_0426.cif,-112.69361,-8.049543,14,CaO9Si2Ti2
struct_0427.cif,-113.11854,-7.541236,15,Ca3O9Si2Ti
struct_0428.cif,-25.682257,-6.420564,4,CaOSiTi
struct_0429.cif,-92.89215,-7.7410126,12,CaO8SiTi2
struct_0430.cif,-89.99736,-7.49978,12,CaO8Si2Ti
struct_0431.cif,-50.74882,-6.3436027,8,Ca2O2Si2Ti2
struct_0432.cif,-28.336987,-5.6673975,5,Ca2OSiTi
struct_0433.cif,-88.52852,-7.3773766,12,CaO8Si2Ti
struct_0434.cif,-88.53053,-7.3775444,12,CaO8Si2Ti
struct_0435.cif,-75.90689,-8.434099,9,O6SiTi2
struct_0436.cif,-50.750534,-6.3438168,8,Ca2O2Si2Ti2
struct_0437.cif,-156.04836,-7.8024178,20,Ca2O12Si3Ti3
struct_0438.cif,-49.528137,-7.075448,7,Ca2O4Si
struct_0439.cif,-27.217655,-6.804414,4,OSi2Ti
struct_0440.cif,-28.361422,-5.672284,5,Ca2OSiTi
struct_0441.cif,-113.25837,-7.550558,15,Ca2O9Si3Ti
struct_0442.cif,-40.977413,-6.829569,6,CaOSi2Ti2
struct_0443.cif,-75.9904,-6.3325334,12,Ca4O4Si2Ti2
struct_0444.cif,-77.08006,-7.7080064,10,Ca2O6SiTi
struct_0445.cif,-25.541477,-6.3853693,4,CaO2Si
struct_0446.cif,-50.666927,-6.333366,8,Ca2O2Si2Ti2
struct_0447.cif,-50.74901,-6.343626,8,Ca2O2Si2Ti2
struct_0448.cif,-22.626253,-7.542084,3,OSiTi
struct_0449.cif,-50.47021,-8.411702,6,O4SiTi
struct_0450.cif,-63.564655,-7.0627394,9,CaO6Si2
struct_0451.cif,-89.897064,-7.491422,12,CaO8Si2Ti
struct_0452.cif,-48.906345,-6.113293,8,Ca2OSi3Ti2
struct_0453.cif,-30.946524,-7.736631,4,O2SiTi
struct_0454.cif,-89.13595,-7.4279957,12,CaO7Si3Ti
struct_0455.cif,-33.598667,-6.719733,5,CaOSiTi2
struct_0456.cif,-101.3322,-7.238014,14,Ca3O8Si2Ti
struct_0457.cif,-87.78127,-7.980116,11,CaO7Si2Ti
struct_0458.cif,-50.714325,-6.3392906,8,Ca2O2Si2Ti2
struct_0459.cif,-158.35759,-7.9178796,20,Ca2O13Si2Ti3
struct_0460.cif,-36.76834,-5.25262,7,Ca3OSi2Ti
struct_0461.cif,-90.366425,-7.530535,12,CaO8Si2Ti
struct_0462.cif,-15.334567,-5.111522,3,CaSiTi
struct_0463.cif,-109.87655,-7.848325,14,Ca2O8SiTi3
struct_0464.cif,-128.82497,-8.05156,16,Ca2O10Si2Ti2
struct_0465.cif,-45.34719,-5.668399,8,Ca3OSi2Ti2
struct_0466.cif,-40.97281,-6.8288016,6,CaOSi2Ti2
struct_0467.cif,-88.52639,-7.377199,12,CaO8Si2Ti
struct_0468.cif,-131.66972,-7.745278,17,Ca2O11Si2Ti2
struct_0469.cif,-50.747375,-6.343422,8,Ca2O2Si2Ti2
