file,energy_before_eV,energy_after_eV,delta_energy_eV,energy_per_atom_eV,natoms,formula,relaxed_file
struct_0051.cif,-40.975315,-40.979004,-0.0036888123,-6.829834,6,CaOSi2Ti2,struct_0051_relaxed.cif
struct_0052.cif,-106.800865,-106.83266,-0.031791687,-7.630904,14,Ca2O8Si2Ti2,struct_0052_relaxed.cif
struct_0053.cif,-65.258354,-65.597855,-0.33950043,-7.2886505,9,Ca2O5SiTi,struct_0053_relaxed.cif
struct_0054.cif,-36.222805,-36.22287,-6.484985e-05,-7.244574,5,CaO3Si,struct_0054_relaxed.cif
struct_0055.cif,-25.321644,-25.34589,-0.024246216,-6.3364725,4,CaOSiTi,struct_0055_relaxed.cif
struct_0056.cif,-89.89922,-89.96385,-0.0646286,-7.496988,12,CaO8Si2Ti,struct_0056_relaxed.cif
struct_0057.cif,-25.530064,-25.97455,-0.44448662,-6.4936376,4,CaO2Si,struct_0057_relaxed.cif
struct_0058.cif,-92.246635,-92.92562,-0.6789856,-7.7438016,12,CaO7Si2Ti2,struct_0058_relaxed.cif
struct_0059.cif,-92.38396,-92.496666,-0.112709045,-7.7080555,12,CaO8SiTi2,struct_0059_relaxed.cif
struct_0060.cif,-139.84196,-139.93318,-0.09121704,-7.7740655,18,Ca3O11Si2Ti2,struct_0060_relaxed.cif
struct_0061.cif,-113.51128,-113.57749,-0.066215515,-8.112678,14,CaO9Si2Ti2,struct_0061_relaxed.cif
struct_0062.cif,-119.93838,-120.18598,-0.24760437,-7.511624,16,Ca3O10SiTi2,struct_0062_relaxed.cif
struct_0063.cif,-25.23885,-25.55465,-0.3157997,-6.3886623,4,CaO2Si,struct_0063_relaxed.cif
struct_0064.cif,-88.51634,-88.94629,-0.4299469,-7.412191,12,CaO8Si2Ti,struct_0064_relaxed.cif
struct_0065.cif,-126.943375,-127.01556,-0.0721817,-7.9384723,16,Ca2O10Si2Ti2,struct_0065_relaxed.cif
struct_0066.cif,-25.431313,-25.448715,-0.017402649,-6.362179,4,CaOSiTi,struct_0066_relaxed.cif
struct_0067.cif,-89.88673,-89.954315,-0.067588806,-7.496193,12,CaO8Si2Ti,struct_0067_relaxed.cif
struct_0068.cif,-28.36627,-28.36627,0.0,-5.673254,5,Ca2OSiTi,struct_0068_relaxed.cif
struct_0069.cif,-79.89158,-79.94524,-0.05365753,-7.9945235,10,CaO6SiTi2,struct_0069_relaxed.cif
struct_0070.cif,-61.4507,-61.47577,-0.02507019,-7.684471,8,O2Si2Ti4,struct_0070_relaxed.cif
struct_0071.cif,-128.2473,-128.86678,-0.6194763,-7.1592655,18,Ca5O10Si2Ti,struct_0071_relaxed.cif
struct_0072.cif,-25.53426,-25.967003,-0.43274307,-6.4917507,4,CaO2Si,struct_0072_relaxed.cif
struct_0073.cif,-76.13862,-76.15421,-0.015594482,-7.6154213,10,Ca2O6SiTi,struct_0073_relaxed.cif
struct_0074.cif,-56.59867,-56.878784,-0.28011322,-7.109848,8,CaO2Si2Ti3,struct_0074_relaxed.cif
struct_0075.cif,-127.01547,-127.037994,-0.022521973,-7.9398746,16,Ca2O10Si2Ti2,struct_0075_relaxed.cif
struct_0076.cif,-104.05594,-104.10973,-0.05379486,-7.4364095,14,Ca3O8Si2Ti,struct_0076_relaxed.cif
struct_0077.cif,-88.53164,-88.93921,-0.4075699,-7.4116006,12,CaO8Si2Ti,struct_0077_relaxed.cif
struct_0078.cif,-25.44239,-25.471216,-0.02882576,-6.367804,4,CaOSiTi,struct_0078_relaxed.cif
struct_0079.cif,-115.31411,-115.364975,-0.050865173,-7.6909986,15,Ca2O9Si2Ti2,struct_0079_relaxed.cif
struct_0080.cif,-88.86403,-88.98121,-0.11717987,-7.4151006,12,CaO8Si2Ti,struct_0080_relaxed.cif
struct_0081.cif,-128.82278,-128.82697,-0.004180908,-8.051685,16,Ca2O10Si2Ti2,struct_0081_relaxed.cif
struct_0082.cif,-96.34751,-96.45491,-0.10739899,-6.4303274,15,Ca4O3Si3Ti5,struct_0082_relaxed.cif
struct_0083.cif,-135.22423,-136.55371,-1.329483,-7.586317,18,Ca2O11Si4Ti,struct_0083_relaxed.cif
struct_0084.cif,-128.82465,-128.83047,-0.0058288574,-8.051905,16,Ca2O10Si2Ti2,struct_0084_relaxed.cif
struct_0085.cif,-58.293186,-58.38779,-0.09460449,-7.298474,8,CaO4Si2Ti,struct_0085_relaxed.cif
struct_0086.cif,-25.445168,-25.468254,-0.023086548,-6.3670635,4,CaOSiTi,struct_0086_relaxed.cif
struct_0087.cif,-90.36937,-90.398315,-0.028945923,-7.533193,12,CaO8Si2Ti,struct_0087_relaxed.cif
struct_0088.cif,-128.82361,-128.82887,-0.005264282,-8.051805,16,Ca2O10Si2Ti2,struct_0088_relaxed.cif
struct_0089.cif,-150.65552,-150.7267,-0.07118225,-7.536335,20,Ca4O12Si3Ti,struct_0089_relaxed.cif
struct_0090.cif,-77.079666,-77.080246,-0.000579834,-7.7080245,10,Ca2O6SiTi,struct_0090_relaxed.cif
struct_0091.cif,-40.96896,-40.971832,-0.002872467,-6.8286386,6,CaOSi2Ti2,struct_0091_relaxed.cif
